Symbol	Description
DALW.SI	Dlc Sg5xlong Aac
DANW.SI	Dlc Socgen5xlong Tencent
DAQW.SI	Dlc Sg5xlongcapland A
DARW.SI	Meituan 5xshortsg231214
DASW.SI	Dlc Sg5xshort Aac
DATW.SI	Aac 5xlongsg231214
DAUW.SI	Dlc Sg5xshort Sunac
DAWW.SI	Dlc Sg5xlong Sunac
DAZW.SI	Dlc Sg5xshortkepcorp A
DBCW.SI	Dlc Sg5xshortgeely A
DBTW.SI	Dlc Sg5xlonggalaxy A
DBYW.SI	Singtel 5xlongsg231214
DBZW.SI	Dlc Socgen5xshort Uob
DCDW.SI	Geely 5xshortsg231214
DCLW.SI	Dlc Sg5xlong Citydev
DCMW.SI	Dlc Sg5xshort Alibaba
DCPW.SI	Dlc Socgen5xshort Pingan
DCSW.SI	Dlc Sg5xshort Citydev
DDBW.SI	Dlc Sg5xshortwilmar A
DDIW.SI	Dlc Socgen5xshort Singtel
DDJW.SI	Dlc Socgen5xshort Tencent A
DDWW.SI	Dlc Socgen5xlong Uob
DDZW.SI	Dlc Sg5xshortgeely B
DEKW.SI	Dlc Socgen5xlong Kepcorp
DEUW.SI	Dlc Sg5xlongcitydev A
DEZW.SI	Dlc Sg5xshortuob A
DFAW.SI	Sti 2500mbepw210331
DFFW.SI	Dlc Socgen5xshort Dbs
DFHW.SI	Dlc Socgen5xlong Wilmar
DFJW.SI	Dlc Sg5xshortocbc A
DFSW.SI	Dlc Sg5xshortsunny B
DFYW.SI	Dlc Sg5xshort Byd
DGAW.SI	Dlc Sg5xlonggeely A
DGBW.SI	Dlc Sg5xshort Areit
DGCW.SI	Dlc Sg5xshort Galaxy A
DGEW.SI	Areit 5xshortsg231214
DGOW.SI	Dlc Socgen5xshort Venture
DGRW.SI	Dlc Sg5xlong Sgx
DGSW.SI	Dlc Sg5xshort Sgx
DHDW.SI	Dlc Sg5xlong Clife
DHEW.SI	Dlc Sg5xshort Hkex A
DHGW.SI	Dlc Sg5xshortwilmar B
DHSW.SI	Dlc Sg5xlong Hsbc A
DHYW.SI	Dlc Socgen5xlong Pingan
DINW.SI	Dlc Sg5xlong Byd
DJAW.SI	Dlc Sg5xlong Cmob
DJBW.SI	Dlc Sg5xshort Jd
DJCW.SI	Dlc Sg5xlong Jd
DJDW.SI	Dlc Sg5xlongjd A
DJWW.SI	Dlc Socgen5xshort Ocbc
DKEW.SI	Dlc Sg5xlongkepcorp A
DKFW.SI	Dlc Socgen5xshort Capland
DKKW.SI	Dlc Sg5xlongsia A
DKUW.SI	Dlc Socgen5xshort Cnooc
DLAW.SI	Dlc Socgen5xlong Venture
DLIW.SI	Dlc Sg5xlongsunac A
DLQW.SI	Dlc Socgen5xlong Capland
DM0.SI	Psc Corporation Ltd
DMAW.SI	Dlc Sg5xshort Meituan A
DMBW.SI	Dlc Sg5xlong Alibaba
DMEW.SI	Dlc Sg5xlong Meituan
DMPW.SI	Dlc Socgen5xshort Genting
DMQW.SI	Dlc Socgen5xlong Singtel
DMSW.SI	Dlc Sg5xshort Meituan
DMUW.SI	Dlc Sg5xlongocbc A
DNAW.SI	Dlc Sg5xlongnetease A
DNCW.SI	Dlc Sg5xshort Netease
DNEW.SI	Dlc Socgen5xlong Genting
DNFW.SI	Dlc Sg5xlongalibaba A
DNSW.SI	Dlc Sg5xlong Netease
DNXW.SI	Dlc Socgen5xshort Wilmar
DNZW.SI	Dlc Sg5xshort Clife
DOHW.SI	S&p 2950mbepw210319
DOPW.SI	Dlc Sg5xlong Pahealth
DOXW.SI	Dlc Socgen5xlong Dbs
DPEW.SI	Dlc Sg5xshort Shkp
DPIW.SI	Dlc Socgen5xshort Kepcorp
DPOW.SI	Dlc Sg5xlongsands A
DPWW.SI	Dlc Socgen5xlong Aia
DQAW.SI	Dlc Sg5xlongareit A
DQBW.SI	Dlc Sg5xshort Cmob
DQDW.SI	Dlc Socgen5xshort Geely
DQQW.SI	Dlc Sg5xshort Pahealth
DQTW.SI	Dlc Socgen5xshort Tencent
DRGW.SI	Dlc Sg5xlong Shkp
