Symbol	Description
CWEB.WT.TO	Charlottes Web Holdings Inc
CWL.TO	Caldwell Partners International Inc
CWW.TO	Ishares S&P Global Water ETF
CWX.TO	Canwel Building Materials Group Ltd
CWX.NT.A.TO	Canwel Build Materials 6.375 Pct Notes
CXB.TO	Calibre Mining Corp
CXF.TO	CI First Asset CDN Convert Bond ETF
CXI.TO	Currency Exchange International Corp
CYB.TO	Cymbria Corporation Cl A
CYBR.TO	Evolve Cyber Security Index Hgd ETF
CYBR.B.TO	Evolve Cyber Security Index Uh ETF
CYBR.U.TO	Evolve Cyber Security Index Uh Fund USD
CYH.TO	Ishares Global Monthly Dividend ETF
D.UN.TO	Dream Office REIT
DANC.TO	Desjardins Lng Shrt Eqty Mkt Ntrl ETF
DBO.TO	Dbox Technologies Inc
DC.A.TO	Dundee Corp Cl.A Sv
DC.PR.B.TO	Dundee Corp First Pref Ser 2
DC.PR.D.TO	Dundee Corp Pref Ser 3
DCBO.TO	Docebo Inc
DCC.TO	Desjardins 1To5 Yr Lad CDN Corp Bd ETF
DCG.TO	Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCM.TO	Data Communications Mgmt Corp
DCP.TO	Desjardins CDN Pref Share ETF
DCS.TO	Desjardins CDN Short Term Bd ETF
DCU.TO	Desjardins CDN Universe Bond Index ETF
DF.TO	Dividend 15 Split Corp II
DF.PR.A.TO	Dividend 15 Split Corp II Prf
DFC.TO	Desjardins Cda Multifactor Ctrl Vol ETF
DFD.TO	Desjardins Dev Xus Xcda Mltifact Vol ETF
DFE.TO	Desjardins EM Multifactor-Controlled Vol ETF
DFN.TO	Dividend 15 Split Corp
DFN.PR.A.TO	Dividend 15 Split Corp
DFU.TO	Desjardins USA Multifactor Ctrl Vol ETF
DGR.TO	CI Wisdomtree US Quality Div Growth Index ETF
DGR.B.TO	CI Wisdomtree US Quality Div Growth Index ETF
DGRC.TO	CI Wisdomtree CDN Qlty Div Gwth Idx ETF
DGS.TO	Dividend Growth Split Corp Class A
DGS.PR.A.TO	Dividend Growth Split Corp Pref
DIAM.TO	Star Diamond Corp
DII.A.TO	Dorel Industries Inc Cl.A Mv
DII.B.TO	Dorel Industries Inc Cl.B Sv
DIR.UN.TO	Dream Industrial REIT
