Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
DLAKF,DEUTSCHE LUFTHANSA AG REG,OTCQX International Premier,11.950000,-1.807700,524,Foreign Ordinary Shares,Germany,
DLAKY,DEUTSCHE LUFTHANSA S/ADR,OTCQX International Premier,11.950000,-0.747500,30478,ADRs,Germany,
ADDDF,ADIDAS AG ORD,OTCQX International Premier,362.500000,2.115600,469,Foreign Ordinary Shares,Germany,
ADDYY,ADIDAS AG S/ADR,OTCQX International Premier,181.050000,2.276600,19095,ADRs,Germany,
IFNNF,INFINEON TECHS AG,OTCQX International Premier,37.850000,2.358200,375,Foreign Ordinary Shares,Germany,
IFNNY,INFINEON TECHS AG S/ADR,OTCQX International Premier,37.810000,1.626100,82173,ADRs,Germany,
FSNUF,FRESENIUS SE & CO,OTCQX International Premier,44.090000,,0,Foreign Ordinary Shares,Germany,
FSNUY,FRESENIUS SE S/ADR,OTCQX International Premier,11.870000,1.021300,11488,ADRs,Germany,
BOSSY,HUGO BOSS AG S/ADR,OTCQX International Premier,6.948000,3.239200,1179,ADRs,Germany,
KPLUF,K PLUS S AG ORD,OTCQX International Premier,9.300000,,0,Foreign Ordinary Shares,Germany,
KPLUY,K PLUS S AG S/ADR,OTCQX International Premier,4.790000,,0,ADRs,Germany,
STWRY,SOFTWARE AG S/ADR,OTCQX International Premier,10.500000,2.389100,515,ADRs,Germany,
CCGGY,C&C GROUP PLC S/ADR,OTCQX International Premier,9.590000,4.013000,1449,ADRs,Ireland,
EXPGF,EXPERIAN PLC ORD,OTCQX International Premier,37.577200,1.560000,1943,Foreign Ordinary Shares,Ireland,
EXPGY,EXPERIAN PLC S/ADR,OTCQX International Premier,37.420000,0.781000,94793,ADRs,Ireland,
WMMVY,WAL-MART DE MEX V S/ADR,OTCQX International Premier,28.298000,0.797900,35554,ADRs,Mexico,
GBOOF,GRUPO FIN BANORTE  ORD,OTCQX International Premier,5.782700,6.988000,5917,Foreign Ordinary Shares,Mexico,
GBOOY,GRUPO FINC BANORTE S/ADR,OTCQX International Premier,29.100000,5.069300,28024,ADRs,Mexico,
NHYDY,NORSK HYDRO A S ADS,OTCQX International Premier,4.640000,3.571400,65536,ADRs,Norway,
NHYKF,NORSK HYDRO AS ORD,OTCQX International Premier,4.700000,4.793800,12393,Foreign Ordinary Shares,Norway,
ROSYY,PJSC ROSTELECOM S/ADR,OTCQX International Premier,7.990000,,1,ADRs,Russia,
GZPFY,GAZPROM NEFT PJSC  S/ADR,OTCQX International Premier,22.030000,-2.392600,288,ADRs,Russia,
RSHYY,RUSHYDRO PJSC S/ADR,OTCQX International Premier,1.010000,0.000000,12105,ADRs,Russia,
IMPUY,IMPALA PLATINUM LTD S/ADR,OTCQX International Premier,13.470000,3.376800,172725,ADRs,South Africa,
REPYF,REPSOL YPF SA ORD,OTCQX International Premier,10.500000,,4,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA SP/ADR,OTCQX International Premier,10.170000,-0.690200,37798,ADRs,Spain,
RHHBF,ROCHE HOLDING LTD ORD,OTCQX International Premier,342.000000,-0.058400,330,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX International Premier,43.660000,0.344700,2045282,ADRs,Switzerland,
RHHVF,ROCHE HOLDING DIV RTS,OTCQX International Premier,345.000000,-1.428600,26934,Rights,Switzerland,
ZFSVF,ZURICH INS GROUP ORD,OTCQX International Premier,414.200000,-0.826100,542,Foreign Ordinary Shares,Switzerland,
ZURVY,ZURICH INS GROUP S/ADR,OTCQX International Premier,41.798000,0.572700,46309,ADRs,Switzerland,
ADRNY,KONINKLIJKE AD N.V. S/ADR,OTCQX International Premier,28.460000,-0.628500,37086,ADRs,The Netherlands,
AHODF,KONINKLIJKE AHOLD DEL ORD,OTCQX International Premier,28.490100,-0.223800,1196,Foreign Ordinary Shares,The Netherlands,
